nta2020,name,borough,population_2020
BX0303,Crotona Park East,Bronx,30158
BX1003,Pelham Bay-Country Club-City Island,Bronx,29462
BX1103,Pelham Gardens,Bronx,29402
SI0202,New Dorp-Midland Beach,Staten Island,29083
BK0204,Clinton Hill,Brooklyn,28647
MN0602,Gramercy,Manhattan,28628
QN0702,Whitestone-Beechhurst,Queens,28408
QN1003,Howard Beach-Lindenwood,Queens,27320
QN0904,Ozone Park (North),Queens,27312
QN1307,Rosedale,Queens,27101
QN1302,Bellerose,Queens,26566
QN1305,Laurelton,Queens,26088
MN0502,Midtown-Times Square,Manhattan,25575
SI0103,Rosebank-Shore Acres-Park Hill,Staten Island,25510
MN0102,Tribeca-Civic Center,Manhattan,25390
QN1103,Douglaston-Little Neck,Queens,25262
QN1104,Oakland Gardens-Hollis Hills,Queens,25249
BK0201,Brooklyn Heights,Brooklyn,25092
BX1102,Morris Park,Bronx,25077
QN1206,Hollis,Queens,24576
BX0302,Claremont Village-Claremont (East),Bronx,24553
QN0901,Kew Gardens,Queens,24371
QN0903,South Richmond Hill,Queens,24141
QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,24134
QN0706,Queensboro Hill,Queens,23638
BK0701,Windsor Terrace-South Slope,Brooklyn,23622
QN0804,Jamaica Estates-Holliswood,Queens,23576
QN1002,Ozone Park,Queens,23518
BK0801,Prospect Heights,Brooklyn,23515
QN0803,Fresh Meadows-Utopia,Queens,23434
QN1301,Glen Oaks-Floral Park-New Hyde Park,Queens,23364
QN0703,Bay Terrace-Clearview,Queens,23287
MN0201,SoHo-Little Italy-Hudson Square,Manhattan,23287
QN1306,Springfield Gardens (South)-Brookville,Queens,23103
BX0802,Kingsbridge-Marble Hill,Bronx,22807
SI0106,Port Richmond,Staten Island,22609
MN0601,Stuyvesant Town-Peter Cooper Village,Manhattan,22512
SI0301,Oakwood-Richmondtown,Staten Island,22388
MN0902,Manhattanville-West Harlem,Manhattan,22183
SI0101,St. George-New Brighton,Staten Island,20549
BX0601,West Farms,Bronx,20147
QN1304,Cambria Heights,Queens,19081
SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,19027
QN0102,Old Astoria-Hallets Point,Queens,18927
BX1001,Westchester Square,Bronx,17376
BK0504,Spring Creek-Starrett City,Brooklyn,17038
SI0305,Tottenville-Charleston,Staten Island,16089
BX0201,Hunts Point,Bronx,15131
QN0151,Rikers Island,Bronx,3772
MN1191,Randall's Island,Manhattan,1302
BK1061,Fort Hamilton,Brooklyn,775
SI9561,Fort Wadsworth,Staten Island,495
BX1161,Hutchinson Metro Center,Bronx,297
MN6491,Central Park,Manhattan,129
BX2691,Van Cortlandt Park,Bronx,122
SI0391,Freshkills Park (South),Staten Island,95
QN1191,Alley Pond Park,Queens,85
BX2791,Bronx Park,Bronx,69
SI9592,Miller Field,Staten Island,46
QN8191,Flushing Meadows-Corona Park,Queens,44
QN0261,Sunnyside Yards (South),Queens,36
BX0391,Crotona Park,Bronx,34
BK1771,Holy Cross Cemetery,Brooklyn,32
BX2891,Pelham Bay Park,Bronx,28
QN0161,Sunnyside Yards (North),Queens,27
QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip,Queens,24
BK5691,Barren Island-Floyd Bennett Field,Brooklyn,21
QN0574,Highland Park-Cypress Hills Cemeteries (North),Queens,20
BX0491,Yankee Stadium-Macombs Dam Park,Bronx,19
MN1292,Inwood Hill Park,Manhattan,16
SI0291,Freshkills Park (North),Staten Island,15
BK5591,Prospect Park,Brooklyn,15
BK0891,Lincoln Terrace Park,Brooklyn,15
QN1491,Rockaway Community Park,Queens,12
MN1291,Highbridge Park,Manhattan,12
BX0492,Claremont Park,Bronx,10
BK1091,Dyker Beach Park,Brooklyn,9
SI0191,Snug Harbor,Staten Island,8
MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,8
BK0571,Highland Park-Cypress Hills Cemeteries (South),Brooklyn,7
BX0991,Soundview Park,Bronx,6
BK0471,The Evergreens Cemetery,Brooklyn,6
SI9593,Great Kills Park,Staten Island,5
QN0891,Cunningham Park,Queens,5
QN0171,St. Michael's Cemetery,Queens,5
BK1893,Canarsie Park & Pier,Brooklyn,5
BK0771,Green-Wood Cemetery,Brooklyn,5
BK0261,Brooklyn Navy Yard,Brooklyn,5
QN8291,Forest Park,Queens,4
BK1892,McGuire Fields,Brooklyn,4
QN0573,St. John Cemetery,Queens,3
QN0571,Mount Olivet & All Faiths Cemeteries,Queens,3
QN8381,John F. Kennedy International Airport,Queens,2
QN0791,Kissena Park,Queens,2
BX1271,Woodlawn Cemetery,Bronx,2
QN0871,Mount Hebron & Cedar Grove Cemeteries,Queens,1
BK1891,Marine Park-Plumb Island,Brooklyn,1
SI9591,Hoffman & Swinburne Islands,Staten Island,0
QN8491,Jamaica Bay (East),Queens,0
QN8081,LaGuardia Airport,Queens,0
QN1371,Montefiore Cemetery,Queens,0
QN1091,Spring Creek Park,Queens,0
QN0761,Fort Totten,Queens,0
QN0572,Middle Village Cemetery,Queens,0
QN0271,Calvary & Mount Zion Cemeteries,Queens,0
QN0191,Astoria Park,Queens,0
MN0661,United Nations,Manhattan,0
BX1091,Ferry Point Park-St. Raymond Cemetery,Bronx,0
BX1071,Hart Island,Bronx,0
BX0291,North & South Brother Islands,Bronx,0
BK5693,Shirley Chisholm State Park,Brooklyn,0
BK5692,Jamaica Bay (West),Brooklyn,0
BK1391,Calvert Vaux Park,Brooklyn,0
